"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"1","China","Harbin Water Supply Project","BOT","Active","Treatment plant","Harbin","30",1994,"20","Cubic meters per day (in thousands)","224.64",126.534967,45.803775
"2","China","Zhongshan Tanzhou Water Plant","BROT","Active","Treatment plant","Tanzhou City","35",1994,"10.8","Number of installed connections ( in thousands)","100",113.467503,22.254836
"3","China","Shenyang No. 8 Water Plant ","BROT","Cancelled","Treatment plant","Shenyang City","30",1995,"150","Cubic meters per day (in thousands)","449.28",123.431472,41.805699
"4","China","Da Chang Water Treatment Plant","BOT","Cancelled","Treatment plant","Da Chang","20",1996,"73","Cubic meters per day (in thousands)","400",116.989574,39.886547
"5","China","Nanchang Shuanggang Water Supply Company Ltd.","BROT","Active","Treatment plant","Nanchang city","28",1996,"35.3","Cubic meters per day (in thousands)","199.584",115.858197,28.682892
"6","China","Nanhai Water Treatment Plant","BOT","Active","Treatment plant","Nanhai City","20",1996,"16","Cubic meters per day (in thousands)","249.696",113.164201,23.198526
"7","China","Zaija Water (Shenyang No.9)","BOT","Cancelled","Treatment plant","Shenyang city","20",1996,"25","Cubic meters per day (in thousands)","150.336",123.431472,41.805699
"8","China","Jiangmen Water","ROT","Active","Treatment plant","Jiangmen city","20",1997,"60","Cubic meters per day (in thousands)","500.256",113.081508,22.579117
"9","China","Lianjiang Water Supply","BOT","Active","Treatment plant","Lianjing","30",1997,"16.7","Cubic meters per day (in thousands)","100.224",114.872537,23.338828
"10","China","Shenyang Shifosi Water Plant","ROT","Active","Treatment plant","Shenyang","20",1997,"48.2","Cubic meters per day (in thousands)","371.52",123.431472,41.805699
"11","China","Tianjin Lingzhuang Water Treatment Plant","BOT","Active","Treatment plant","Lingzhuang district ","20",1997,"30","Cubic meters per day (in thousands)","500.256",110.179953,25.234479
"12","China","Xian South Water Works","BOT","Cancelled","Treatment plant","Xian","20",1997,"30","Cubic meters per day (in thousands)","500.256",108.93977,34.341574
"13","China","Xiejiang Water Plant","ROT","Active","Treatment plant","Jiangmen City","18",1997,"26.5","Cubic meters per day (in thousands)","222.912",113.081508,22.579117
"14","China","Binzhou Cathay Water Plant ","ROT","Cancelled","Treatment plant","Binzhou Municipality","20",1998,"6.6","Cubic meters per day (in thousands)","50.112",117.970699,37.38198
"15","China","Binzhou Dongiao Water","ROT","Cancelled","Treatment plant","Binzhou city","20",1998,"9.9","Cubic meters per day (in thousands)","39.744",117.970699,37.38198
"16","China","Changli Water Supply","BOT","Active","Water Utility","Changli county","20",1998,"11","Population (in thousands)","100",119.162693,39.712813
"17","China","Jinan Water","BOT","Cancelled","Treatment plant","Jinan city","26",1998,"90","Cubic meters per day (in thousands)","900.288",117.120095,36.6512
"18","China","Jinan Water (Dayang Plant) ","BOT","Cancelled","Treatment plant","Jinan city","26",1998,"30","Cubic meters per day (in thousands)","400.032",117.120095,36.6512
"19","China","Yueyang Kai Yuan Water Supply Company Limited","ROT","Cancelled","Treatment plant","Yueyang City","18",1998,"18","Cubic meters per day (in thousands)","371.52",113.12873,29.356803
"20","China","Zhongshan Dafeng Water Plant","ROT","Active","Treatment plant","Zhongshan","22",1998,"29.9","Cubic meters per day (in thousands)","199.584",113.39277,22.517585
"21","China","Zhongshan Quanlu Water Plant","ROT","Active","Treatment plant","Zhongshan","22",1998,"26.6","Cubic meters per day (in thousands)","1296",113.39277,22.517585
"22","China","Changtu Water Plant","BOT","Active","Treatment plant","Changtu County","30",1999,"11.6","Cubic meters per day (in thousands)","100.224",124.111099,42.785791
"23","China","Chengdu No. 6 Water Plant B","BOT","Active","Treatment plant","Chengdu","18",1999,"107.6","Cubic meters per day (in thousands)","460",104.066801,30.572815
"24","China","Baoding Water Plant","ROT","Active","Treatment plant","Hubei Province","20",2000,"24.2","Cubic meters per day (in thousands)","259.2",112.2384017,30.7378118
"25","China","Changchun Wastewater Project","BOO","Cancelled","Treatment plant","Changchun city","21",2000,"32","Cubic meters per day (in thousands)","468.288",125.323544,43.817071
"26","China","Hexian Water Treatment Plant","ROT","Active","Treatment plant","Hexian city","20",2000,"7.3","Number of installed connections ( in thousands)","630",102.998521,36.123686
"27","China","Siping Water Plant","BROT","Active","Treatment plant","Jilin Province","30",2000,"8.9","Cubic meters per day (in thousands)","118.368",126.4371385,43.1520105
"28","China","Chongqing City Water Supply","Management","Active","Water Utility","Yongchuan City","50",2001,"13.2","Population (in thousands)","300",105.927375,29.356117
"29","China","Qitaihe Water Project","BOT","Active","Treatment plant","Qitaihe City","25",2001,"12","Cubic meters per day (in thousands)","111",131.0031381,45.771726
"30","China","Shanghai Fengxian Saur Water","ROT","Cancelled","Treatment plant","Fengxian District of Shanghai","11",2001,"10.3","Cubic meters per day (in thousands)","100",121.474042,30.917795
"31","China","Shenzhen Wastewater Treatment Plants","Management","Active","Treatment plant","Shenzhen city","15",2001,NA,"Cubic meters per day (in thousands)","65",114.057865,22.543096
"32","China","Xi Lang Wastewater","BOT","Active","Treatment plant","Guangzhou City","20",2001,"120","Cubic meters per day (in thousands)","400",113.264385,23.12911
"33","China","Xiao Shun Jiang Water Project","BOO","Cancelled","Treatment plant","Shaoxing city","20",2001,"26","Cubic meters per day (in thousands)","400",120.586109,29.995762
"34","China","Xinhui East Wastewater Treatment Plant","BOT","Active","Treatment plant","Jiangmen city","20",2001,"4.4",NA,NA,113.081508,22.579117
"35","China","Xinle Wastewater Treatment Plant ","BOT","Active","Treatment plant","Xinle City","22",2001,"4.1","Cubic meters per day (in thousands)","40",114.684014,38.343295
"36","China","Zhengzhou Water Supply Project","ROT","Active","Treatment plant","Huiji District","30",2001,"37.8","Cubic meters per day (in thousands)","360",113.6169,34.867457
"37","China","Zhu Zhuan Qiao Wastewater","BOT","Active","Treatment plant","Hefei city","23",2001,"14.46","Cubic meters per day (in thousands)","55",117.227219,31.820591
"38","China","Baoji Water","ROT","Active","Treatment plant","Baoji city","23",2002,"42.45","Cubic meters per day (in thousands)","232",107.237743,34.363184
"39","China","Foshan Wastewater Plant","BOT","Active","Treatment plant","Foshan city","20",2002,"30.4","Cubic meters per day (in thousands)","100.224",113.121435,23.021478
"40","China","Hebei Handan Ci County Wastewater Treatment Plant","BOT","Active","Treatment plant","Ci County","25",2002,"13.65","Cubic meters per day (in thousands)","50",114.38035,36.359285
"41","China","Hubei Jinmen Xiajiawan Wastewater Treatment Plant","BOT","Active","Treatment plant","Jinmen City","25",2002,"6.04","Cubic meters per day (in thousands)","50",118.4435334,24.4861404
"42","China","Jiangsu Taicang City East Wastewater Treatment Plant","BOT","Active","Treatment plant","Taicang City","25",2002,"7.3","Cubic meters per day (in thousands)","20",121.13055,31.457735
"43","China","Jie Yuan Water Treatment Plant","BROT","Active","Treatment plant","Hongqiao District","20",2002,"20","Cubic meters per day (in thousands)","500",121.384616,31.177397
"44","China","Jinan Yellow River Water Plant","ROT","Active","Treatment plant","Jinan City","25",2002,"34.78","Cubic meters per day (in thousands)","400",117.120095,36.6512
"45","China","Lijiatuo and Qiezixi Wastewater ","BOT","Active","Treatment plant","Chongqing Municipality","30",2002,"17.5","Cubic meters per day (in thousands)","100",106.912251,29.4315861
"46","China","Panjin Water","ROT","Active","Treatment plant","Panjin city","30",2002,"7.25","Cubic meters per day (in thousands)","110",122.070714,41.119997
"47","China","Qingdao Desalination Plant","BOT","Active","Treatment plant","Qingdao city","20",2002,"5","Cubic meters per day (in thousands)","3",120.382609,36.067108
"48","China","Qingdao Water","ROT","Active","Treatment plant","Qingdao","25",2002,"15.1","Cubic meters per day (in thousands)","540",120.382609,36.067108
"49","China","Shanghai Pudong Water","BROT","Active","Water Utility","Pudong District","50",2002,"396","Number of installed connections ( in thousands)","550",121.544379,31.221517
"50","China","Zhuhai Wastewater","BROT","Active","Treatment plant","Zhuhai Municipality","30",2002,"28.47","Cubic meters per day (in thousands)","50",113.576677,22.270978
"51","China","Beijing Lugouqiao Wastewater Treatment Plant","BOT","Active","Treatment plant","Beijing City","20",2003,"10.23","Cubic meters per day (in thousands)","100",116.4073963,39.9041999
"52","China","Boluo County Wastewater Treatment Plant","BOT","Active","Treatment plant","Boluo County","20",2003,NA,NA,NA,114.289528,23.17277
"53","China","Boluo County Wastewater Treatment Plant","BOT","Active","Treatment plant","Boluo County","20",2004,"5.8",NA,NA,114.289528,23.17277
"54","China","Changle County Water Project","ROT","Active","Water Utility","Changle county","50",2003,"11.2","Population (in thousands)","600",118.829913,36.706944
"55","China","Changle County Water Project","ROT","Active","Water Utility","Changle county","50",2005,"0.5",NA,NA,118.829913,36.706944
"56","China","Deqing Huanzhong Producing Water Company","BOT","Active","Treatment plant","Deqing County","25",2003,"7.95","Cubic meters per day (in thousands)","60",119.9774,30.54251
"57","China","Diao Bing Shan Wastewater","BOT","Active","Treatment plant","Diao Bing Shan city","25",2003,"8.46","Cubic meters per day (in thousands)","30",122.085119,30.008372
"58","China","Gongzhuling City Water Supply ","BOO","Active","Treatment plant","Gongzhuling City","30",2003,NA,NA,NA,124.82283,43.504687
"59","China","Haiyang Wastewater Treatment Plant","BOT","Active","Treatment plant","Haiyang","22",2003,"3.6","Cubic meters per day (in thousands)","18.144",121.158434,36.776378
"60","China","Huidong County Pingshan District Wastewater Treatment Plant","BOT","Active","Treatment plant","Huidong County","25",2003,"7.19","Cubic meters per day (in thousands)","60",114.719988,22.985014
"61","China","Jiangsu Feng County Wastewater Treatment Plant","BOT","Active","Treatment plant","Feng County","25",2003,"6.04","Cubic meters per day (in thousands)","40",116.59539,34.693906
"62","China","Jinan Yuqing Water Plant","Partial","Active","Treatment plant","Jinan City","30",2003,"43.48","Cubic meters per day (in thousands)","280",117.120095,36.6512
"63","China","Lvshun City Wastewater Treatment Plant","ROT","Active","Treatment plant","Lvshun City","20",2003,"5","Cubic meters per day (in thousands)","60",121.261953,38.851705
"64","China","Qingdao Wastewater","ROT","Active","Treatment plant","Qingdao city","25",2003,"36.8","Cubic meters per day (in thousands)","203.904",120.382609,36.067108
"65","China","Qingshanhu Wastewater Treatment Plant ","BOT","Active","Treatment plant","Nanchang city","20",2003,"28.02","Cubic meters per day (in thousands)","330",115.858197,28.682892
"66","China","Shenzhen Water Group ","ROT","Active","Water Utility","Shenzhen City","50",2003,"400","Population (in thousands)","2200",114.057865,22.543096
"67","China","Sihui City Wastewater Treatment Plant","BOT","Active","Treatment plant","Sihui City","20",2003,"4.83","Cubic meters per day (in thousands)","30",112.734103,23.327001
"68","China","Weiyuan County Wastewater Treatment Plant","BOT","Active","Treatment plant","Weiyuan County","25",2003,"3.86","Cubic meters per day (in thousands)","20",104.668879,29.52744
"69","China","Xiamen Desalination","BOO","Active","Treatment plant","Xiamen city","40",2003,"1.7","Cubic meters per day (in thousands)","5",118.089425,24.479833
"70","China","Xianyang Water Treatment Plant","BOT","Cancelled","Treatment plant","Xianyang city","30",2003,"24","Cubic meters per day (in thousands)","278",108.708991,34.329605
"71","China","Yizheng City Zhenzhou Wastewater Treatment Plant","BOT","Active","Treatment plant","Yizheng City","20",2003,"5","Cubic meters per day (in thousands)","50",119.184766,32.272258
"72","China","Yuan He Water Treatment Plant ","BOT","Active","Treatment plant","Yichun City","29",2003,"9","Cubic meters per day (in thousands)","100",114.416785,27.815743
"73","China","Zhenjiang City Jianbi Water Plant","ROT","Active","Treatment plant","Zhenjiang City","50",2003,"3.02","Cubic meters per day (in thousands)","25",119.425836,32.187849
"74","China","Zhucheng Yinhe Wastewater Treatment Plant (Phase I)","BOT","Active","Treatment plant","Zhucheng City","25",2003,"8.7","Cubic meters per day (in thousands)","66",119.410103,35.995654
"75","China","Bei Yuan Wastewater Treatment Plant ","BOT","Active","Treatment plant","Chaoyang District","23",2004,"7.08","Cubic meters per day (in thousands)","40",116.443107,39.921469
"76","China","Beijing Tianzhu Wastewater Treatment Plant (Phase 1)","BOT","Active","Treatment plant","Shunyi District","25",2004,"2.4","Cubic meters per day (in thousands)","20",116.65465,40.130347
"77","China","CGE Zunyi Water Treatment Company ","ROT","Active","Treatment plant","Zunyi","35",2004,"24","Cubic meters per day (in thousands)","199",106.927389,27.725654
"78","China","Changsha Second Wastewater Treatment Plant ","ROT","Active","Treatment plant","Changsha city","20",2004,"29.8","Cubic meters per day (in thousands)","140",112.938814,28.228209
"79","China","Dalian Quanshui Wastewater Treatment Plant","BOT","Active","Treatment plant","Dalian City","20",2004,"5","Cubic meters per day (in thousands)","140",121.614682,38.914003
"80","China","Dongguan City Changping Wastewater Treatment Plant","BOT","Active","Treatment plant","Dongguan City","25",2004,"8.52","Cubic meters per day (in thousands)","60",113.751799,23.020673
"81","China","Fuzhou CWC Water Company Limited ","ROT","Active","Water Utility","Fuzhou city","30",2004,"18","Population (in thousands)","2430",119.296482,26.074478
"82","China","Gaomi City No. 2 Wastewater Treatment Plant","BOT","Active","Treatment plant","Gaomi City","25",2004,"6.64","Cubic meters per day (in thousands)","50",119.757032,36.377539
"83","China","Guizhou Environmental Infrastructure Project","BOT","Active","Treatment plant","Bijie Prefecture","20",2004,"150",NA,NA,105.291643,27.283955
"84","China","Haerbin Taiping Wastewater Treatment Plant","BOT","Active","Treatment plant","Haerbin City","25",2004,"3.86","Cubic meters per day (in thousands)","325",126.534967,45.803775
"85","China","Hebei Hengshui Wastewater Treatment Plant","ROT","Active","Treatment plant","Henghsui City","30",2004,"13.29","Cubic meters per day (in thousands)","100",115.670177,37.73892
"86","China","Hohhot Water Development Project ","ROT","Active","Treatment plant","Hohhot city","30",2004,"42.9","Cubic meters per day (in thousands)","515",111.749995,40.842356
"87","China","Jiangsu Suining County Wastewater Treatment Plant","BOT","Active","Treatment plant","Suining County","23",2004,"4.83","Cubic meters per day (in thousands)","20",117.941563,33.912597
"88","China","Kunshan City Wastewater Treatment","BROT","Active","Treatment plant","Kunshan City","30",2004,NA,"Cubic meters per day (in thousands)","88",120.980736,31.385597
"89","China","Liaoning Desalination Plant ","BOT","Active","Treatment plant","Huludao city","30",2004,"27.78","Cubic meters per day (in thousands)","50",120.83694,40.71104
"90","China","Liaoyang City Wastewater","ROT","Active","Treatment plant","Liaoyang city","30",2004,"21.7","Cubic meters per day (in thousands)","200",123.236944,41.267244
"91","China","Panjin City No. 1 Wastewater Treatment Plant","ROT","Active","Treatment plant","Panjin City","30",2004,"30.19","Cubic meters per day (in thousands)","100",122.070714,41.119997
"92","China","Qingdao III","BOT","Active","Treatment plant","Qingdao city","25",2004,NA,"Cubic meters per day (in thousands)","180",120.382609,36.067108
"93","China","Qinhuangdao Haigang Sewage Treatment Plant ","BOT","Active","Treatment plant","Haigang district","22",2004,"14.5","Cubic meters per day (in thousands)","120",119.564962,39.94756
"94","China","Shilong Town Watewater Treatment Plant","BOT","Active","Treatment plant","Shilong Town","25",2004,"6.04","Cubic meters per day (in thousands)","40",91.8932535,25.5787726
"95","China","Wangxiaoying Wastewater Treatment Plant","ROT","Active","Treatment plant","Hefei city","23",2004,"58","Cubic meters per day (in thousands)","310",117.227219,31.820591
"96","China","Weifang City Wastewater Treatment Plant","ROT","Active","Treatment plant","Weifang City","20",2004,"26.09","Cubic meters per day (in thousands)","110",119.161748,36.706962
"98","China","Xianyang City Wastewater Treatment Plant","BOT","Active","Treatment plant","Xianyang City","25",2004,"35","Cubic meters per day (in thousands)","200",108.708991,34.329605
"99","China","Xuzhou Sewage Treatment Plant","ROT","Active","Treatment plant","Xuzhou City","30",2004,"19.3","Cubic meters per day (in thousands)","165",117.284124,34.205768
"100","China","Zhenyuan County Wastewater Treatment Plant","BOT","Active","Treatment plant","Zhenyuan County","25",2004,"6.16","Cubic meters per day (in thousands)","20",108.42969,27.049109
"101","China","Aqualia Bengbu Wastewater","ROT","Active","Treatment plant","Bengbu city","25",2005,"60.6","Cubic meters per day (in thousands)","400",117.389719,32.916287
"102","China","Beijing Daxing Yufa Town Project","BOT","Active","Treatment plant","Yufa Town","20",2005,"7.33","Cubic meters per day (in thousands)","55",126.545147,45.869072
"103","China","Cao County Siji Wastewater Treatment Plant","BOT","Active","Treatment plant","Cao County","25",2005,"3.92","Cubic meters per day (in thousands)","30",115.542328,34.825508
"104","China","Changde City Deshan Wastewater Treatment Plant","BOT","Active","Treatment plant","Changde City","25",2005,"15.94","Cubic meters per day (in thousands)","150",111.698784,29.031654
"105","China","Changzhou Tap Water group","ROT","Active","Water Utility","Changzhou","30",2005,"55.6","Population (in thousands)","1200",119.974061,31.811226
"106","China","Chenggong Salcon Water Company","BROT","Active","Water Utility","Chenggong County","30",2005,"29.3","Cubic meters per day (in thousands)","60",102.821468,24.885531
"107","China","Fenghua City Wastewater Treatment Plant","Management","Active","Treatment plant","Fenghua City","20",2005,"19.73","Cubic meters per day (in thousands)","60",121.406995,29.655143
"108","China","Handan East Wastewater Treatment Plant Expansion Project","ROT","Active","Treatment plant","Handan city","25",2005,"15.75","Cubic meters per day (in thousands)","199",114.538961,36.625656
"109","China","Hebei Hangdan Wastewater","BOT","Active","Treatment plant","Hangdan city","22",2005,"10","Cubic meters per day (in thousands)","100",114.538961,36.625656
"110","China","Hebei Nangong Wastewater Treatment Plant","BOT","Active","Treatment plant","Nangong City","25",2005,"24.15","Cubic meters per day (in thousands)","30",115.408747,37.359264
"111","China","Hedong Chuangwei Water Co. Ltd.","BROT","Active","Treatment plant","Urumqi","25",2005,"44.7","Cubic meters per day (in thousands)","800",87.616848,43.825592
"112","China","Henan Wastewater Plants","ROT","Active","Treatment plant","Henan province","22",2005,"7.7","Cubic meters per day (in thousands)","130",113.3823545,34.2904302
"113","China","Huaiyuan Tapwater Plant","ROT","Active","Treatment plant","Huaiyuan County","20",2005,"0.7","Cubic meters per day (in thousands)","14",117.205237,32.970031
"114","China","Huaxin Town Wastewater Treatment Plant","BOT","Active","Treatment plant","Qingpu District","30",2005,"19.44","Cubic meters per day (in thousands)","51",121.124178,31.150681
"115","China","Huzhou City North Water Plant Extension Project","BOT","Active","Treatment plant","Huzhou City","25",2005,"24.42","Cubic meters per day (in thousands)","300",120.086809,30.89441
"116","China","Jiangdu Water Treatment Plant","BOT","Active","Treatment plant","Jiangdu city","30",2005,"11.97","Cubic meters per day (in thousands)","50",119.569989,32.434672
"117","China","Jiashan County Xitang Town Wastewater Treatment Project","BOT","Active","Treatment plant","Xitang Town","25",2005,"5.74","Cubic meters per day (in thousands)","15",120.891293,30.938787
"118","China","Kunming Water Supply Company","ROT","Active","Water Utility","Kuming city","30",2005,"124","Cubic meters per day (in thousands)","1600",102.832891,24.880095
"119","China","Lianyungang Wastewater Concession","ROT","Active","Treatment plant","Lianyungang city","25",2005,"16.9","Cubic meters per day (in thousands)","100",119.221611,34.596653
"120","China","Lianyungang Wastewater Plant","BOT","Active","Treatment plant","Lianyungang city","25",2005,"12.7","Cubic meters per day (in thousands)","160",119.221611,34.596653
"121","China","Liaoning Anshan Wastewater Treatment Plant","ROT","Active","Treatment plant","Anshan City","30",2005,"13.43","Cubic meters per day (in thousands)","100",122.994329,41.108647
"122","China","Linyi City Salcon Water Concession ","ROT","Active","Water Utility","Linyi City","30",2005,"4.4","Population (in thousands)","1000",118.356414,35.104673
"123","China","Maanshan City Huashan District Wangjiashan Wastewater Treatment Plant","BOT","Active","Treatment plant","Ma'anshan City","25",2005,"10.26","Cubic meters per day (in thousands)","60",118.507011,31.67044
"124","China","Nanchang Water","BOT","Active","Treatment plant","Nanchang city","20",2005,"21.69","Cubic meters per day (in thousands)","200",115.858197,28.682892
"125","China","Nanchang Xianghu Wastewater Treatment Plant","BOT","Active","Treatment plant","Nanchang City","30",2005,"22.59","Cubic meters per day (in thousands)","200",115.858197,28.682892
"126","China","Nanjing Wastewater Plant","BOT","Active","Treatment plant","Nanjing city","25",2005,"10","Cubic meters per day (in thousands)","40",118.796877,32.060255
"127","China","Pizhou City Water Supply Project","BOT","Active","Treatment plant","Pizhou","25",2005,"9.9","Cubic meters per day (in thousands)","100",118.012531,34.338888
"128","China","Rugao Water Treatment Plant","BOT","Active","Treatment plant","Rugao city","25",2005,"48.1","Cubic meters per day (in thousands)","185.76",120.574945,32.370557
"129","China","Shan County Jiashan River Wastewater Treatment Plant","BOT","Active","Treatment plant","Shan County","25",2005,"8.18","Cubic meters per day (in thousands)","40",116.107428,34.778808
"130","China","Shandong Changyi Wastewater Treatment Plant","BOT","Active","Treatment plant","Changyi City","20",2005,"5.49","Cubic meters per day (in thousands)","30",119.398525,36.858819
